"HULK/DR. ROBERT BRUC","H2 252"
"WOODGOD","H2 252"
"BANNER, BETTY ROSS T","H2 252"
"JONES, RICHARD MILHO","H2 252"
"DOC SAMSON/DR. LEONA","H2 252"
"DARKSTAR/LAYNIA SERG","COC 1"
"LOBO","COC 1"
"INVISIBLE WOMAN/SUE ","COC 1"
"MIKHLO","COC 1"
"SHROUD/MAXIMILLIAN Q","COC 1"
"SASQUATCH/WALTER LAN","COC 1"
"NORRISS, SISTER BARB","COC 1"
"URSA MAJOR/MIKHAIL U","COC 1"
"CYCLOPS/SCOTT SUMMER","COC 1"
"LOCKJAW [INHUMAN]","COC 1"
"THING/BENJAMIN J. GR","COC 1"
"WHIZZER/ROBERT L. FR","COC 1"
"AURORA/JEANNE-MARIE ","COC 1"
"BLACK WIDOW/NATASHA ","COC 1"
"MOCKINGBIRD/DR. BARB","COC 1"
"SCARLET WITCH/WANDA ","COC 1"
"IKARIS/IKE HARRIS [E","COC 1"
"IGOR","COC 1"
"KARNAK [INHUMAN]","COC 1"
"ANGEL/WARREN KENNETH","COC 1"
"DEFENSOR","COC 1"
"CAGE, LUKE/CARL LUCA","COC 1"
"SABRA/RUTH BAT-SERAP","COC 1"
"SHADOWCAT/KATHERINE ","COC 1"
"ANT-MAN II/SCOTT HAR","COC 1"
"CRYSTAL [INHUMAN]","COC 1"
"DR. STRANGE/STEPHEN ","COC 1"
"PROFESSOR X/CHARLES ","COC 1"
"COLLECTIVE MAN","COC 1"
"DR. DRUID/ANTHONY LU","COC 1"
"QUICKSILVER/PIETRO M","COC 1"
"SHE-HULK/JENNIFER WA","COC 1"
"TORPEDO III/BROCK JO","COC 1"
"BLACK PANTHER/T'CHAL","COC 1"
"JACK OF HEARTS/JACK ","COC 1"
"3-D MAN/CHARLES CHAN","COC 1"
"DRUMM, JERICHO","COC 1"
"HELLCAT/PATSY WALKER","COC 1"
"HELLSTORM/DAIMON HEL","COC 1"
"GYPSY MOTH","COC 1"
"CAPTAIN AMERICA","COC 1"
"HULK/DR. ROBERT BRUC","COC 1"
"IRON MAN/TONY STARK ","COC 1"
"QUASAR III/WENDELL V","COC 1"
"SERSI/SYLVIA","COC 1"
"GRANDMASTER/EN DWI G","COC 1"
"CRIMSON DYNAMO V/DIM","COC 1"
"HAVOK/ALEX SUMMERS ","COC 1"
"SPIDER-WOMAN/JESSICA","COC 1"
"BLITZKRIEG/","COC 1"
"NORTHSTAR/JEAN-PAUL ","COC 1"
"STORM/ORORO MUNROE S","COC 1"
"JOCASTA","COC 1"
"REDWING","COC 1"
"SUB-MARINER/NAMOR MA","COC 1"
"HERCULES [GREEK GOD]","COC 1"
"DEVIL-SLAYER/ERIC SI","COC 1"
"STINGRAY/DR. WALTER ","COC 1"
"NIGHTCRAWLER/KURT WA","COC 1"
"SPIDER-MAN/PETER PAR","COC 1"
"GUARDIAN/JAMES MACDO","COC 1"
"TIGRA/GREER NELSON","COC 1"
"RED WOLF III/WILL TA","COC 1"
"WEREWOLF BY NIGHT/JA","COC 1"
"PEATOR","COC 1"
"VISION ","COC 1"
"MOON KNIGHT/MARC SPE","COC 1"
"COLOSSUS II/PETER RA","COC 1"
"FALCON/SAM WILSON","COC 1"
"TEXAS TWISTER/DREW D","COC 1"
"HAWK","COC 1"
"RED GHOST/IVAN KRAGO","COC 1"
"WONDER MAN/SIMON WIL","COC 1"
"BEAST/HENRY &HANK& P","COC 1"
"PEREGRINE, LE/FRANCK","COC 1"
"BLACK KNIGHT V/DANE ","COC 1"
"MOONDRAGON/HEATHER D","COC 1"
"DAREDEVIL/MATT MURDO","COC 1"
"SNOWBIRD/NARYA/ANNE ","COC 1"
"SUNFIRE/SHIRO YOSHID","COC 1"
"ROM, SPACEKNIGHT","COC 1"
"SHANNA/SHANNA O'HARA","COC 1"
"ICEMAN/ROBERT BOBBY ","COC 1"
"GORGON [INHUMAN]","COC 1"
"GARGOYLE II/ISAAC CH","COC 1"
"THOR/DR. DONALD BLAK","COC 1"
"NIGHTHAWK/KYLE RICHM","COC 1"
"BLACK BOLT/BLACKANTO","COC 1"
"VALINOR","COC 1"
"WASP/JANET VAN DYNE ","COC 1"
"IRON FIST/DANIEL RAN","COC 1"
"CAPTAIN BRITAIN/BRIA","COC 1"
"BROTHER VOODOO/DANIE","COC 1"
"KA-ZAR/KEVIN PLUNDER","COC 1"
"MR. FANTASTIC/REED R","COC 1"
"ARABIAN KNIGHT/ABDUL","COC 1"
"HUMAN TORCH/JOHNNY S","COC 1"
"MACHINE MAN/X-51","COC 1"
"SHAMROCK/MOLLY FITZG","COC 1"
"MEDUSA/MEDUSALITH AM","COC 1"
"AJAK/TECUMOTZIN [ETE","COC 1"
"DOC SAMSON/DR. LEONA","COC 1"
"SHAMAN/MICHAEL TWOYO","COC 1"
"O'BRIEN, MICHAEL","COC 1"
"VANGUARD/NICOLAI KRY","COC 1"
"WOLVERINE/LOGAN ","COC 1"
"DAZZLER II/ALLISON B","COC 1"
"TALISMAN","COC 1"
"TRITON","COC 1"
"PALADIN/PAUL DENNIS","COC 1"
"LIVING MUMMY","COC 1"
"FANDRAL [ASGARDIAN]","T 208"
"VOLSTAGG","T 208"
"4-D MAN/MERCURIO","T 208"
"BALDER [ASGARDIAN]","T 208"
"THOR/DR. DONALD BLAK","T 208"
"SIF","T 208"
"JARVIS, EDWIN ","T 208"
"ODIN [ASGARDIAN]","T 208"
"VISION ","T 208"
"HILDEGARDE [ASGARDIA","T 208"
"HOGUN [ASGARDIAN]","T 208"
